batch size,context size,SM count,milliseconds
128,8192,64,2.8637248039245606
128,8192,96,1.9887871980667113
128,8192,128,1.5414080142974853
128,8192,132,1.5443455934524537
128,16384,8,45.10914535522461
128,16384,16,22.379174423217773
128,16384,32,11.19861125946045
128,16384,48,7.6723456382751465
128,16384,64,5.655520057678222
128,16384,96,3.9195199966430665
128,16384,128,3.065241575241089
128,16384,132,3.071820831298828
128,32768,8,89.33226165771484
128,32768,16,44.58100509643555
128,32768,32,22.314521408081056
128,32768,48,15.304307174682616
128,32768,64,11.242284774780273
128,32768,96,7.89243516921997
128,32768,128,6.26686725616455
128,32768,132,6.659916877746582
